[0823/175912.579:INFO:CONSOLE(1)] "Long rAF frame-time", source: file:///C:/Program%20Files/Adobe/Adobe%20Photoshop%202020/Required/www-rich-tooltips/build/external.js (1)
[0824/050951.336:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0824/050951.634:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0824/050951.699:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0824/050951.786:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0824/050952.136:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0824/050956.354:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0824/105226.028:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0824/105316.801:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0825/102245.181:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0826/161540.449:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0826/211555.805:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
